numero_cuenta,nombre_estudiante,nombre_materia,calificacion,promedio,bandera
312232195,Dalila Sanmiguel Pedrosa,Quimica,9,7.9,1
312232198,Nico Verdugo Blanes,Quimica,9,7.9,1
312232199,Rosalva Vargas,Quimica,8,7.9,1
312232204,Vania Castellanos Juarez,Quimica,9,7.9,1
312232205,Karina Matamoroz,Quimica,8,7.9,1
312232208,Daiara Saldana,Quimica,10,7.9,1
312232209,David Romero Mendoza,Quimica,10,7.9,1
312232210,Rafael Alejandro Ramirez Contreras,Quimica,10,7.9,1
312232211,Javier Cruz Rojas,Quimica,10,7.9,1
312232213,Christian Oliva Jimenez,Quimica,8,7.9,1
312232214,Ruben Arturo Hernandez Rosas,Quimica,10,7.9,1
312232215,Javier Aguirre Cruz,Quimica,10,7.9,1
312232217,Carlos Juarez David,Quimica,9,7.9,1
312232218,Alexandra Navarrete Ramirez,Quimica,8,7.9,1
312232188,Adelina Garcia Sanchez,Cultura y Comunicacion,9,7.68,1
312232192,Paulina Arino Portillo,Cultura y Comunicacion,10,7.68,1
312232193,Maria Barriga Sandoval,Cultura y Comunicacion,10,7.68,1
312232194,Wilfredo Corominas Zabala,Cultura y Comunicacion,9,7.68,1
312232195,Dalila Sanmiguel Pedrosa,Cultura y Comunicacion,8,7.68,1
312232196,Anastasia Cruz Salazar,Cultura y Comunicacion,9,7.68,1
312232197,Calisto Bolanos Bravo,Cultura y Comunicacion,10,7.68,1
312232200,Kike Vicens Bou,Cultura y Comunicacion,8,7.68,1
312232203,Diego Luz Alvares,Cultura y Comunicacion,8,7.68,1
312232204,Vania Castellanos Juarez,Cultura y Comunicacion,8,7.68,1
312232205,Karina Matamoroz,Cultura y Comunicacion,9,7.68,1
312232206,Alexdr Nikolenko,Cultura y Comunicacion,9,7.68,1
312232209,David Romero Mendoza,Cultura y Comunicacion,10,7.68,1
312232215,Javier Aguirre Cruz,Cultura y Comunicacion,9,7.68,1
312232216,Hugo Martinez Martinez,Cultura y Comunicacion,10,7.68,1
312232217,Carlos Juarez David,Cultura y Comunicacion,9,7.68,1
312232189,Juan Jose Ballesteros Aguirre,Algebra Lineal ,8,7.47,1
312232192,Paulina Arino Portillo,Algebra Lineal ,10,7.47,1
312232196,Anastasia Cruz Salazar,Algebra Lineal ,9,7.47,1
312232200,Kike Vicens Bou,Algebra Lineal ,8,7.47,1
312232203,Diego Luz Alvares,Algebra Lineal ,10,7.47,1
312232204,Vania Castellanos Juarez,Algebra Lineal ,8,7.47,1
312232206,Alexdr Nikolenko,Algebra Lineal ,8,7.47,1
312232207,Jorge Jimenez Palma,Algebra Lineal ,9,7.47,1
312232212,Fanny Rojas Tello,Algebra Lineal ,10,7.47,1
312232214,Ruben Arturo Hernandez Rosas,Algebra Lineal ,10,7.47,1
312232215,Javier Aguirre Cruz,Algebra Lineal ,10,7.47,1
312232216,Hugo Martinez Martinez,Algebra Lineal ,10,7.47,1
312232217,Carlos Juarez David,Algebra Lineal ,10,7.47,1
312232188,Adelina Garcia Sanchez,Calculo Integral,10,7.43,1
312232192,Paulina Arino Portillo,Calculo Integral,9,7.43,1
312232193,Maria Barriga Sandoval,Calculo Integral,8,7.43,1
312232196,Anastasia Cruz Salazar,Calculo Integral,8,7.43,1
312232197,Calisto Bolanos Bravo,Calculo Integral,10,7.43,1
312232200,Kike Vicens Bou,Calculo Integral,8,7.43,1
312232203,Diego Luz Alvares,Calculo Integral,10,7.43,1
312232204,Vania Castellanos Juarez,Calculo Integral,9,7.43,1
312232205,Karina Matamoroz,Calculo Integral,10,7.43,1
312232206,Alexdr Nikolenko,Calculo Integral,9,7.43,1
312232207,Jorge Jimenez Palma,Calculo Integral,10,7.43,1
312232214,Ruben Arturo Hernandez Rosas,Calculo Integral,9,7.43,1
312232215,Javier Aguirre Cruz,Calculo Integral,9,7.43,1
312232189,Juan Jose Ballesteros Aguirre,Estatica,8,7.37,1
312232194,Wilfredo Corominas Zabala,Estatica,8,7.37,1
312232197,Calisto Bolanos Bravo,Estatica,10,7.37,1
312232199,Rosalva Vargas,Estatica,9,7.37,1
312232202,Alberto Herrera Cortez,Estatica,9,7.37,1
312232204,Vania Castellanos Juarez,Estatica,9,7.37,1
312232205,Karina Matamoroz,Estatica,9,7.37,1
312232206,Alexdr Nikolenko,Estatica,9,7.37,1
312232207,Jorge Jimenez Palma,Estatica,8,7.37,1
312232210,Rafael Alejandro Ramirez Contreras,Estatica,8,7.37,1
312232211,Javier Cruz Rojas,Estatica,9,7.37,1
312232212,Fanny Rojas Tello,Estatica,10,7.37,1
312232216,Hugo Martinez Martinez,Estatica,9,7.37,1
312232217,Carlos Juarez David,Estatica,8,7.37,1
312232218,Alexandra Navarrete Ramirez,Estatica,10,7.37,1
312232188,Adelina Garcia Sanchez,Computacion para Ingenierios,8,6.97,1
312232189,Juan Jose Ballesteros Aguirre,Computacion para Ingenierios,8,6.97,1
312232190,Eugenio Galan Giron,Computacion para Ingenierios,8,6.97,1
312232191,Lupita de Esteban,Computacion para Ingenierios,9,6.97,1
312232192,Paulina Arino Portillo,Computacion para Ingenierios,7,6.97,1
312232193,Maria Barriga Sandoval,Computacion para Ingenierios,10,6.97,1
312232194,Wilfredo Corominas Zabala,Computacion para Ingenierios,9,6.97,1
312232197,Calisto Bolanos Bravo,Computacion para Ingenierios,9,6.97,1
312232200,Kike Vicens Bou,Computacion para Ingenierios,7,6.97,1
312232202,Alberto Herrera Cortez,Computacion para Ingenierios,9,6.97,1
312232206,Alexdr Nikolenko,Computacion para Ingenierios,9,6.97,1
312232207,Jorge Jimenez Palma,Computacion para Ingenierios,8,6.97,1
312232208,Daiara Saldana,Computacion para Ingenierios,8,6.97,1
312232210,Rafael Alejandro Ramirez Contreras,Computacion para Ingenierios,7,6.97,1
312232212,Fanny Rojas Tello,Computacion para Ingenierios,8,6.97,1
312232215,Javier Aguirre Cruz,Computacion para Ingenierios,7,6.97,1
312232216,Hugo Martinez Martinez,Computacion para Ingenierios,8,6.97,1
312232190,Eugenio Galan Giron,Introduccion a la Economia,8,7.23,1
312232191,Lupita de Esteban,Introduccion a la Economia,8,7.23,1
312232192,Paulina Arino Portillo,Introduccion a la Economia,9,7.23,1
312232193,Maria Barriga Sandoval,Introduccion a la Economia,10,7.23,1
312232194,Wilfredo Corominas Zabala,Introduccion a la Economia,8,7.23,1
312232197,Calisto Bolanos Bravo,Introduccion a la Economia,9,7.23,1
312232203,Diego Luz Alvares,Introduccion a la Economia,8,7.23,1
312232206,Alexdr Nikolenko,Introduccion a la Economia,9,7.23,1
312232207,Jorge Jimenez Palma,Introduccion a la Economia,10,7.23,1
312232208,Daiara Saldana,Introduccion a la Economia,10,7.23,1
312232209,David Romero Mendoza,Introduccion a la Economia,8,7.23,1
312232212,Fanny Rojas Tello,Introduccion a la Economia,9,7.23,1
312232214,Ruben Arturo Hernandez Rosas,Introduccion a la Economia,10,7.23,1
312232216,Hugo Martinez Martinez,Introduccion a la Economia,10,7.23,1
312232190,Eugenio Galan Giron,Ecuaciones Diferenciales,9,7.36,1
312232191,Lupita de Esteban,Ecuaciones Diferenciales,9,7.36,1
312232194,Wilfredo Corominas Zabala,Ecuaciones Diferenciales,8,7.36,1
312232198,Nico Verdugo Blanes,Ecuaciones Diferenciales,10,7.36,1
312232200,Kike Vicens Bou,Ecuaciones Diferenciales,8,7.36,1
312232202,Alberto Herrera Cortez,Ecuaciones Diferenciales,8,7.36,1
312232204,Vania Castellanos Juarez,Ecuaciones Diferenciales,8,7.36,1
312232205,Karina Matamoroz,Ecuaciones Diferenciales,9,7.36,1
312232208,Daiara Saldana,Ecuaciones Diferenciales,9,7.36,1
312232209,David Romero Mendoza,Ecuaciones Diferenciales,8,7.36,1
312232210,Rafael Alejandro Ramirez Contreras,Ecuaciones Diferenciales,8,7.36,1
312232211,Javier Cruz Rojas,Ecuaciones Diferenciales,9,7.36,1
312232212,Fanny Rojas Tello,Ecuaciones Diferenciales,9,7.36,1
312232216,Hugo Martinez Martinez,Ecuaciones Diferenciales,8,7.36,1
312232218,Alexandra Navarrete Ramirez,Ecuaciones Diferenciales,10,7.36,1
312232193,Maria Barriga Sandoval,Calculo Vectorial,10,7.04,1
312232195,Dalila Sanmiguel Pedrosa,Calculo Vectorial,8,7.04,1
312232196,Anastasia Cruz Salazar,Calculo Vectorial,9,7.04,1
312232203,Diego Luz Alvares,Calculo Vectorial,10,7.04,1
312232204,Vania Castellanos Juarez,Calculo Vectorial,8,7.04,1
312232209,David Romero Mendoza,Calculo Vectorial,9,7.04,1
312232210,Rafael Alejandro Ramirez Contreras,Calculo Vectorial,10,7.04,1
312232212,Fanny Rojas Tello,Calculo Vectorial,9,7.04,1
312232216,Hugo Martinez Martinez,Calculo Vectorial,10,7.04,1
312232190,Eugenio Galan Giron,Cinematica y Dinamica,8,7.32,1
312232196,Anastasia Cruz Salazar,Cinematica y Dinamica,10,7.32,1
312232197,Calisto Bolanos Bravo,Cinematica y Dinamica,8,7.32,1
312232198,Nico Verdugo Blanes,Cinematica y Dinamica,9,7.32,1
312232199,Rosalva Vargas,Cinematica y Dinamica,9,7.32,1
312232206,Alexdr Nikolenko,Cinematica y Dinamica,10,7.32,1
312232208,Daiara Saldana,Cinematica y Dinamica,9,7.32,1
312232209,David Romero Mendoza,Cinematica y Dinamica,10,7.32,1
312232213,Christian Oliva Jimenez,Cinematica y Dinamica,10,7.32,1
312232214,Ruben Arturo Hernandez Rosas,Cinematica y Dinamica,9,7.32,1
312232215,Javier Aguirre Cruz,Cinematica y Dinamica,9,7.32,1
312232217,Carlos Juarez David,Cinematica y Dinamica,9,7.32,1
312232192,Paulina Arino Portillo,Termodinamica,9,7.04,1
312232193,Maria Barriga Sandoval,Termodinamica,10,7.04,1
312232197,Calisto Bolanos Bravo,Termodinamica,9,7.04,1
312232198,Nico Verdugo Blanes,Termodinamica,9,7.04,1
312232199,Rosalva Vargas,Termodinamica,10,7.04,1
312232200,Kike Vicens Bou,Termodinamica,9,7.04,1
312232203,Diego Luz Alvares,Termodinamica,8,7.04,1
312232204,Vania Castellanos Juarez,Termodinamica,10,7.04,1
312232205,Karina Matamoroz,Termodinamica,8,7.04,1
312232209,David Romero Mendoza,Termodinamica,8,7.04,1
312232190,Eugenio Galan Giron,Programacion Avanzada,10,7.93,1
312232192,Paulina Arino Portillo,Programacion Avanzada,9,7.93,1
312232194,Wilfredo Corominas Zabala,Programacion Avanzada,8,7.93,1
312232197,Calisto Bolanos Bravo,Programacion Avanzada,9,7.93,1
312232199,Rosalva Vargas,Programacion Avanzada,9,7.93,1
312232200,Kike Vicens Bou,Programacion Avanzada,10,7.93,1
312232204,Vania Castellanos Juarez,Programacion Avanzada,10,7.93,1
312232205,Karina Matamoroz,Programacion Avanzada,8,7.93,1
312232206,Alexdr Nikolenko,Programacion Avanzada,10,7.93,1
312232207,Jorge Jimenez Palma,Programacion Avanzada,10,7.93,1
312232208,Daiara Saldana,Programacion Avanzada,10,7.93,1
312232209,David Romero Mendoza,Programacion Avanzada,8,7.93,1
312232210,Rafael Alejandro Ramirez Contreras,Programacion Avanzada,8,7.93,1
312232214,Ruben Arturo Hernandez Rosas,Programacion Avanzada,10,7.93,1
312232215,Javier Aguirre Cruz,Programacion Avanzada,9,7.93,1
312232216,Hugo Martinez Martinez,Programacion Avanzada,10,7.93,1
312232218,Alexandra Navarrete Ramirez,Programacion Avanzada,10,7.93,1
312232192,Paulina Arino Portillo,Probabilidad y Estadistica,10,7.84,1
312232193,Maria Barriga Sandoval,Probabilidad y Estadistica,8,7.84,1
312232194,Wilfredo Corominas Zabala,Probabilidad y Estadistica,8,7.84,1
312232195,Dalila Sanmiguel Pedrosa,Probabilidad y Estadistica,10,7.84,1
312232196,Anastasia Cruz Salazar,Probabilidad y Estadistica,10,7.84,1
312232199,Rosalva Vargas,Probabilidad y Estadistica,8,7.84,1
312232202,Alberto Herrera Cortez,Probabilidad y Estadistica,9,7.84,1
312232203,Diego Luz Alvares,Probabilidad y Estadistica,9,7.84,1
312232208,Daiara Saldana,Probabilidad y Estadistica,10,7.84,1
312232209,David Romero Mendoza,Probabilidad y Estadistica,9,7.84,1
312232210,Rafael Alejandro Ramirez Contreras,Probabilidad y Estadistica,8,7.84,1
312232212,Fanny Rojas Tello,Probabilidad y Estadistica,9,7.84,1
312232213,Christian Oliva Jimenez,Probabilidad y Estadistica,8,7.84,1
312232214,Ruben Arturo Hernandez Rosas,Probabilidad y Estadistica,8,7.84,1
312232217,Carlos Juarez David,Probabilidad y Estadistica,9,7.84,1
312232218,Alexandra Navarrete Ramirez,Probabilidad y Estadistica,10,7.84,1
312232191,Lupita de Esteban,Algoritmos y Estructuras de Datos,9,7.72,1
312232193,Maria Barriga Sandoval,Algoritmos y Estructuras de Datos,9,7.72,1
312232195,Dalila Sanmiguel Pedrosa,Algoritmos y Estructuras de Datos,8,7.72,1
312232199,Rosalva Vargas,Algoritmos y Estructuras de Datos,10,7.72,1
312232205,Karina Matamoroz,Algoritmos y Estructuras de Datos,10,7.72,1
312232209,David Romero Mendoza,Algoritmos y Estructuras de Datos,9,7.72,1
312232210,Rafael Alejandro Ramirez Contreras,Algoritmos y Estructuras de Datos,9,7.72,1
312232211,Javier Cruz Rojas,Algoritmos y Estructuras de Datos,8,7.72,1
312232212,Fanny Rojas Tello,Algoritmos y Estructuras de Datos,10,7.72,1
312232213,Christian Oliva Jimenez,Algoritmos y Estructuras de Datos,9,7.72,1
312232215,Javier Aguirre Cruz,Algoritmos y Estructuras de Datos,10,7.72,1
312232218,Alexandra Navarrete Ramirez,Algoritmos y Estructuras de Datos,10,7.72,1
312232193,Maria Barriga Sandoval,Estructura de Programacion de Computadoras,8,7.8,1
312232194,Wilfredo Corominas Zabala,Estructura de Programacion de Computadoras,8,7.8,1
312232196,Anastasia Cruz Salazar,Estructura de Programacion de Computadoras,9,7.8,1
312232198,Nico Verdugo Blanes,Estructura de Programacion de Computadoras,8,7.8,1
312232199,Rosalva Vargas,Estructura de Programacion de Computadoras,10,7.8,1
312232203,Diego Luz Alvares,Estructura de Programacion de Computadoras,9,7.8,1
312232204,Vania Castellanos Juarez,Estructura de Programacion de Computadoras,8,7.8,1
312232206,Alexdr Nikolenko,Estructura de Programacion de Computadoras,9,7.8,1
312232207,Jorge Jimenez Palma,Estructura de Programacion de Computadoras,9,7.8,1
312232208,Daiara Saldana,Estructura de Programacion de Computadoras,9,7.8,1
312232209,David Romero Mendoza,Estructura de Programacion de Computadoras,10,7.8,1
312232211,Javier Cruz Rojas,Estructura de Programacion de Computadoras,8,7.8,1
312232214,Ruben Arturo Hernandez Rosas,Estructura de Programacion de Computadoras,10,7.8,1
312232215,Javier Aguirre Cruz,Estructura de Programacion de Computadoras,8,7.8,1
312232217,Carlos Juarez David,Estructura de Programacion de Computadoras,9,7.8,1
312232218,Alexandra Navarrete Ramirez,Estructura de Programacion de Computadoras,9,7.8,1
312232192,Paulina Arino Portillo,Analisis de Sistemas y Senales,9,7.32,1
312232196,Anastasia Cruz Salazar,Analisis de Sistemas y Senales,8,7.32,1
312232202,Alberto Herrera Cortez,Analisis de Sistemas y Senales,9,7.32,1
312232203,Diego Luz Alvares,Analisis de Sistemas y Senales,10,7.32,1
312232204,Vania Castellanos Juarez,Analisis de Sistemas y Senales,9,7.32,1
312232205,Karina Matamoroz,Analisis de Sistemas y Senales,8,7.32,1
312232206,Alexdr Nikolenko,Analisis de Sistemas y Senales,9,7.32,1
312232207,Jorge Jimenez Palma,Analisis de Sistemas y Senales,8,7.32,1
312232208,Daiara Saldana,Analisis de Sistemas y Senales,8,7.32,1
312232215,Javier Aguirre Cruz,Analisis de Sistemas y Senales,10,7.32,1
312232217,Carlos Juarez David,Analisis de Sistemas y Senales,8,7.32,1
312232218,Alexandra Navarrete Ramirez,Analisis de Sistemas y Senales,10,7.32,1
312232191,Lupita de Esteban,Literatura Hispanoamericana Contemporanea,8,6.84,1
312232198,Nico Verdugo Blanes,Literatura Hispanoamericana Contemporanea,9,6.84,1
312232200,Kike Vicens Bou,Literatura Hispanoamericana Contemporanea,9,6.84,1
312232202,Alberto Herrera Cortez,Literatura Hispanoamericana Contemporanea,8,6.84,1
312232203,Diego Luz Alvares,Literatura Hispanoamericana Contemporanea,10,6.84,1
312232204,Vania Castellanos Juarez,Literatura Hispanoamericana Contemporanea,7,6.84,1
312232206,Alexdr Nikolenko,Literatura Hispanoamericana Contemporanea,8,6.84,1
312232207,Jorge Jimenez Palma,Literatura Hispanoamericana Contemporanea,8,6.84,1
312232209,David Romero Mendoza,Literatura Hispanoamericana Contemporanea,7,6.84,1
312232210,Rafael Alejandro Ramirez Contreras,Literatura Hispanoamericana Contemporanea,7,6.84,1
312232212,Fanny Rojas Tello,Literatura Hispanoamericana Contemporanea,9,6.84,1
312232218,Alexandra Navarrete Ramirez,Literatura Hispanoamericana Contemporanea,9,6.84,1
312232192,Paulina Arino Portillo,Historia de la Ingenieria,9,7.32,1
312232193,Maria Barriga Sandoval,Historia de la Ingenieria,10,7.32,1
312232194,Wilfredo Corominas Zabala,Historia de la Ingenieria,9,7.32,1
312232199,Rosalva Vargas,Historia de la Ingenieria,9,7.32,1
312232203,Diego Luz Alvares,Historia de la Ingenieria,10,7.32,1
312232205,Karina Matamoroz,Historia de la Ingenieria,8,7.32,1
312232206,Alexdr Nikolenko,Historia de la Ingenieria,9,7.32,1
312232207,Jorge Jimenez Palma,Historia de la Ingenieria,10,7.32,1
312232213,Christian Oliva Jimenez,Historia de la Ingenieria,8,7.32,1
312232214,Ruben Arturo Hernandez Rosas,Historia de la Ingenieria,10,7.32,1
312232215,Javier Aguirre Cruz,Historia de la Ingenieria,9,7.32,1
312232191,Lupita de Esteban,Ingenieria de Software,8,7.28,1
312232195,Dalila Sanmiguel Pedrosa,Ingenieria de Software,10,7.28,1
312232198,Nico Verdugo Blanes,Ingenieria de Software,8,7.28,1
312232199,Rosalva Vargas,Ingenieria de Software,8,7.28,1
312232202,Alberto Herrera Cortez,Ingenieria de Software,9,7.28,1
312232204,Vania Castellanos Juarez,Ingenieria de Software,9,7.28,1
312232205,Karina Matamoroz,Ingenieria de Software,9,7.28,1
312232207,Jorge Jimenez Palma,Ingenieria de Software,10,7.28,1
312232208,Daiara Saldana,Ingenieria de Software,8,7.28,1
312232209,David Romero Mendoza,Ingenieria de Software,9,7.28,1
312232210,Rafael Alejandro Ramirez Contreras,Ingenieria de Software,8,7.28,1
312232211,Javier Cruz Rojas,Ingenieria de Software,9,7.28,1
312232218,Alexandra Navarrete Ramirez,Ingenieria de Software,8,7.28,1
312232191,Lupita de Esteban,Estructuras Discretas,8,7.4,1
312232192,Paulina Arino Portillo,Estructuras Discretas,8,7.4,1
312232193,Maria Barriga Sandoval,Estructuras Discretas,9,7.4,1
312232194,Wilfredo Corominas Zabala,Estructuras Discretas,10,7.4,1
312232200,Kike Vicens Bou,Estructuras Discretas,8,7.4,1
312232202,Alberto Herrera Cortez,Estructuras Discretas,8,7.4,1
312232206,Alexdr Nikolenko,Estructuras Discretas,8,7.4,1
312232207,Jorge Jimenez Palma,Estructuras Discretas,9,7.4,1
312232208,Daiara Saldana,Estructuras Discretas,8,7.4,1
312232210,Rafael Alejandro Ramirez Contreras,Estructuras Discretas,8,7.4,1
312232213,Christian Oliva Jimenez,Estructuras Discretas,8,7.4,1
312232214,Ruben Arturo Hernandez Rosas,Estructuras Discretas,8,7.4,1
312232215,Javier Aguirre Cruz,Estructuras Discretas,8,7.4,1
312232192,Paulina Arino Portillo,Sistemas Operativos,9,7.44,1
312232193,Maria Barriga Sandoval,Sistemas Operativos,9,7.44,1
312232195,Dalila Sanmiguel Pedrosa,Sistemas Operativos,9,7.44,1
312232196,Anastasia Cruz Salazar,Sistemas Operativos,8,7.44,1
312232198,Nico Verdugo Blanes,Sistemas Operativos,10,7.44,1
312232204,Vania Castellanos Juarez,Sistemas Operativos,9,7.44,1
312232206,Alexdr Nikolenko,Sistemas Operativos,8,7.44,1
312232210,Rafael Alejandro Ramirez Contreras,Sistemas Operativos,10,7.44,1
312232212,Fanny Rojas Tello,Sistemas Operativos,9,7.44,1
312232215,Javier Aguirre Cruz,Sistemas Operativos,8,7.44,1
312232217,Carlos Juarez David,Sistemas Operativos,10,7.44,1
312232218,Alexandra Navarrete Ramirez,Sistemas Operativos,8,7.44,1
312232191,Lupita de Esteban,Circuitos Electricos,9,7.56,1
312232192,Paulina Arino Portillo,Circuitos Electricos,10,7.56,1
312232195,Dalila Sanmiguel Pedrosa,Circuitos Electricos,10,7.56,1
312232196,Anastasia Cruz Salazar,Circuitos Electricos,9,7.56,1
312232198,Nico Verdugo Blanes,Circuitos Electricos,8,7.56,1
312232203,Diego Luz Alvares,Circuitos Electricos,9,7.56,1
312232204,Vania Castellanos Juarez,Circuitos Electricos,9,7.56,1
312232209,David Romero Mendoza,Circuitos Electricos,10,7.56,1
312232210,Rafael Alejandro Ramirez Contreras,Circuitos Electricos,10,7.56,1
312232211,Javier Cruz Rojas,Circuitos Electricos,9,7.56,1
312232213,Christian Oliva Jimenez,Circuitos Electricos,8,7.56,1
312232214,Ruben Arturo Hernandez Rosas,Circuitos Electricos,10,7.56,1
312232191,Lupita de Esteban,Diseno de Sistemas Digitales,9,7.76,1
312232194,Wilfredo Corominas Zabala,Diseno de Sistemas Digitales,10,7.76,1
312232195,Dalila Sanmiguel Pedrosa,Diseno de Sistemas Digitales,8,7.76,1
312232196,Anastasia Cruz Salazar,Diseno de Sistemas Digitales,9,7.76,1
312232198,Nico Verdugo Blanes,Diseno de Sistemas Digitales,10,7.76,1
312232200,Kike Vicens Bou,Diseno de Sistemas Digitales,9,7.76,1
312232202,Alberto Herrera Cortez,Diseno de Sistemas Digitales,9,7.76,1
312232203,Diego Luz Alvares,Diseno de Sistemas Digitales,8,7.76,1
312232207,Jorge Jimenez Palma,Diseno de Sistemas Digitales,8,7.76,1
312232208,Daiara Saldana,Diseno de Sistemas Digitales,9,7.76,1
312232209,David Romero Mendoza,Diseno de Sistemas Digitales,10,7.76,1
312232210,Rafael Alejandro Ramirez Contreras,Diseno de Sistemas Digitales,8,7.76,1
312232212,Fanny Rojas Tello,Diseno de Sistemas Digitales,10,7.76,1
312232214,Ruben Arturo Hernandez Rosas,Diseno de Sistemas Digitales,8,7.76,1
312232215,Javier Aguirre Cruz,Diseno de Sistemas Digitales,10,7.76,1
312232193,Maria Barriga Sandoval,Lenguajes de Programacion,8,7.6,1
312232196,Anastasia Cruz Salazar,Lenguajes de Programacion,10,7.6,1
312232198,Nico Verdugo Blanes,Lenguajes de Programacion,10,7.6,1
312232200,Kike Vicens Bou,Lenguajes de Programacion,10,7.6,1
312232206,Alexdr Nikolenko,Lenguajes de Programacion,10,7.6,1
312232207,Jorge Jimenez Palma,Lenguajes de Programacion,8,7.6,1
312232208,Daiara Saldana,Lenguajes de Programacion,8,7.6,1
312232209,David Romero Mendoza,Lenguajes de Programacion,9,7.6,1
312232212,Fanny Rojas Tello,Lenguajes de Programacion,8,7.6,1
312232215,Javier Aguirre Cruz,Lenguajes de Programacion,8,7.6,1
312232195,Dalila Sanmiguel Pedrosa,Lenguajes Formales y Automatas,8,7.5,1
312232198,Nico Verdugo Blanes,Lenguajes Formales y Automatas,9,7.5,1
312232200,Kike Vicens Bou,Lenguajes Formales y Automatas,10,7.5,1
312232203,Diego Luz Alvares,Lenguajes Formales y Automatas,10,7.5,1
312232205,Karina Matamoroz,Lenguajes Formales y Automatas,8,7.5,1
312232207,Jorge Jimenez Palma,Lenguajes Formales y Automatas,9,7.5,1
312232212,Fanny Rojas Tello,Lenguajes Formales y Automatas,9,7.5,1
312232214,Ruben Arturo Hernandez Rosas,Lenguajes Formales y Automatas,9,7.5,1
312232215,Javier Aguirre Cruz,Lenguajes Formales y Automatas,9,7.5,1
312232193,Maria Barriga Sandoval,Dispositivos y Circuitos Electricos,10,7.55,1
312232195,Dalila Sanmiguel Pedrosa,Dispositivos y Circuitos Electricos,9,7.55,1
312232199,Rosalva Vargas,Dispositivos y Circuitos Electricos,8,7.55,1
312232200,Kike Vicens Bou,Dispositivos y Circuitos Electricos,10,7.55,1
312232202,Alberto Herrera Cortez,Dispositivos y Circuitos Electricos,8,7.55,1
